name,github_url,project_description,act_sdg1,act_sdg2,act_sdg3,act_sdg4,act_sdg5,act_sdg6,act_sdg7,act_sdg8,act_sdg9,act_sdg10,act_sdg11,act_sdg12,act_sdg13,act_sdg14,act_sdg15,act_sdg16,act_sdg17,pred_readme_sdg1,pred_readme_sdg2,pred_readme_sdg3,pred_readme_sdg4,pred_readme_sdg5,pred_readme_sdg6,pred_readme_sdg7,pred_readme_sdg8,pred_readme_sdg9,pred_readme_sdg10,pred_readme_sdg11,pred_readme_sdg12,pred_readme_sdg13,pred_readme_sdg14,pred_readme_sdg15,pred_readme_sdg16,pred_readme_sdg17
ODK,https://github.com/getodk,SDG1: IFRC uses ODK to monitor cash assistance to 1.6M foreigners in Türkiye SDG2: WFP uses ODK to provide actionable food security assessments. SDG3: WHO uses ODK to collect millions of data points for disease surveillance. SDG4: Honduras uses ODK to ensure the education of millions of students. SDG6: Red Cross uses ODK to improve the efficiency of humanitarian action. SDG7: Guyana uses ODK to ensure operational efficiency of its power grid. SDG8: FINCA uses ODK to measure household consumption and job creation. SDG13: Sierra Leone uses ODK to help plant millions of trees and create jobs. SDG14: Australia uses ODK to guide the conservation of flatback turtles. SDG15: Jane Goodall Institute uses ODK to track the health of ape habitat. SDG16: The Carter Center uses ODK to assess the fairness of elections.,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOSIP,https://github.com/mosip/mosip,"SDG1 (End poverty in all forms everywhere): MOSIP focusses on ending poverty in all forms by facilitating implementation of appropriate social protection programs (1.3) and enabling financial inclusion and access to financial services (1.4). SDG2 (Zero Hunger): MOSIP focusses on ending hunger and achieving food security by enabling access to food to all, particularly the poor and vulnerable (2.1) through social assistance, and facilitating access to financial services by the farmers (2.3). SDG3 (Good Health and Well Being): MOSIP contributes to good health and well-being by establishing ID systems that help in efficient targeting and service delivery which are paramount to achieving the goals of health-related strategies, schemes and programs (3.7). MOSIP also enables financial inclusion and, consequently, helps reduce finance risk related to household expenditures on health (3.8). SDG4 (Quality Education): MOSIP enables the process of service delivery which assists policies and programs that further literacy, equitable primary and secondary education and affordable education. SDG5 (Gender Equity): MOSIP assists women empowerment through an equitable infrastructure that advance targeted interventions, greater access to financial services, and economic empowerment through specifically tailored programs. SDG8 (Decent Work and Economic Growth): MOSIP promotes sustained inclusive economic growth. MOSIP facilitates equitable access to banking, insurance, and financial services which enable formalization of the economy. It also furthers better targeting of beneficiaries of various government programs, switching to direct benefit transfers wherever possible and brings in resource efficiency at the national level. SDG9 (Industry, Innovation and Infrastructure): MOSIP enables access to financial services and credit to MSMEs. The establishment of an ID system also creates resilient infrastructure that can significantly alleviate Government response during shocks to the country such as disasters, pandemic, economic downturn, etc. MOSIP is being adopted - in various stages - in 9 African countries. SDG10 (Reduced Inequalities): MOSIP helps countries set up foundational ID systems - which aid in the political, economic and civil inclusion of ID-holders into the country (10.2); MOSIP enables efficient implementations of the policies for social protection and equality (10.4); MOSIP framework can provide a common infrastructure for cross-border identification, facilitating seamless migration. (10.7) SDG16 (Peace, Justice and Strong Institutions): Modular Open Source Identity Platform (MOSIP) provides an open-source modular cost-free platform for countries to adopt and provide a legal foundational ID (16.9). Additionally, the establishment of an ID system in the country also strengthens the institutions of the country such as the legislature, social service delivery, financial ecosystem, etc. Thus, MOSIP contributes to reducing corruption and bribery, and building transparent institutions through the elimination of discretionary layers, enabling of direct benefit transfers, and use of digital authentication (16.5).",1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKAN,https://github.com/ckan/ckan,"While CKAN is used by many different organizations tackling many different challenges related to the SDGs, it is specially used to help attain SDG 16 (Promote just, peaceful, and inclusive societies). Perhaps the target most contributes to is 16.10 (Ensure public access to information and protect fundamental freedoms) by providing a free, community-led tool for official institutions to publish their data, which is easy to use for users and provides capabilities for advanced users to monitor and explore the datasets. Being widely used by government and civil society institutions to publish open data, it also helps attain among others target 16.6 (Develop effective, accountable, and transparent institutions) by helping publish data about official budgets, expenditures, declared interests etc, allowing citizens to hold institutions accountable. Other examples where CKAN helps meet the targets of the SDGs include CKAN being used by UNHCR to centralize and standardize refugee-related data, helping with target 10.7 (Facilitating orderly, safe, regular, and responsible migration and mobility of people), and by UNOCHA to host humanitarian data, as well as by several other non-profit organizations working on tackling inequalities around the world (SDG1, SDG10). It is also trusted by many government institutions to publish data that is critical for transparency, accountability and that promotes economic growth (SDG11, SDG8, SDG16). Other organizations like Energinet in Denmark use CKAN to publish energy-related data (SDG7).",1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OpenG2P,https://github.com/openg2p,"OpenG2P helps advance a number of SDGs by ensuring that low income people receive digital cash transfers from governments or humanitarian agencies. Chiefly, OpenG2P helps countries achieve SDG Target 1.3 by aiding the implementation of nationally appropriate social protection systems and increased coverage of the poor and the vulnerable. Governments and humanitarian agencies can use the OpenG2P platform to register, enrol, manage and send monetary or in-kind support to beneficiaries of their social protection programs (SDG1: End Poverty in all its forms everywhere; SDG2: Zero Hunger). These can be programs which involve sending cash support to lift people out of poverty or food rations to ensure sufficient meals for low income families. OpenG2P can also be used to manage beneficiaries in a health program such as providing cash support to pregnant and lactating women to ensure sufficient nutrition for the mother and child (SDG3: Good Health and Well-Being). It is currently being used in the Philippines to send digitally verifiable vouchers to beneficiaries seeking medical assistance. In the education sector, OpenG2P may be used to disburse scholarships to students, performance-based cash incentives to schools, cash support to families conditional on school attendance of children, all of which are aimed at achieving quality education (SDG4: Quality Education). Similarly, OpenG2P can be used to deliver a host of programs targeted towards women, including health, livelihood, training and education and financial inclusion (SDG5: Gender Equity). Livelihood related programs such as providing cash support to individuals to start small businesses can also benefit from OpenG2P (SDG8: Decent Work and Economic Growth) OpenG2P also serves towards reducing inequalities (SDG10: Reduced Inequalities) by enabling the socio-economic inclusion of the bottom 40% of the population. OpenG2P helps in tracking public expenditure for social development, thereby enabling accountability and transparency in government institutions (SDG 16: Peace, Justice and Strong Institutions). Finally, OpenG2P furthers SDG 17: Partnerships for the goals by mobilizing the domestic technology ecosystem of a country, engaging in capacity building and multi-stakeholder partnerships to help a country achieve its goals.",1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGROVOC Multilingual Thesaurus,,"AGROVOC facilitates the exchange and consolidation of knowledge, information, and data in the domains covered by the Food and Agriculture Organization of the United Nations (FAO). Consistent use of relevant concepts to index data and resources across repositories and institutions is essential to monitor progress on the SDGs: in the case of AGROVOC, particularly the SDGs that have indicators for which FAO is the custodian UN agency. FAO is the custodian UN agency for 21 indicators and is a contributing agency to 5 more, spanning SDGs 1, 2, 5, 6, 12, 14, and 15. Not only does AGROVOC cover all domains related to the SDGs for whose indicators FAO is custodian, but it also includes a dedicated concept for the SDGs and individual sub-concepts for each SDG, with official definitions (https://agrovoc.fao.org/browse/agrovoc/en/page/?uri=http%3A%2F%2Faims.fao.org%2Faos%2Fagrovoc%2Fc_013b16cd). This helps information and data managers correctly classify resources against the SDGs, and researchers and the general public easily find and browse SDG-related resources and data. AGROVOC is used to index content and data in many information systems relevant to SDGs 1, 2, 5, 6, 12, 14, and 15: library catalogs of agriculture/fisheries/nutrition/land research institutions and Ministries, repositories of the CGIAR centers, the FAO AGRIS database and various other FAO resources. Being a resource managed in partnership with several institutions all over the world, and being coordinated by FAO under the Partnerships and UN Collaboration Division, AGROVOC is particularly relevant to SDG 17.",1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OpenFisca,https://github.com/openfisca/openfisca-core,"- 1: No Poverty OpenFisca makes social and fiscal legislation executable. One of the most common use cases of the resulting API is for government agencies and NGOs to deploy simulators enabling citizens to assess which benefits they are entitled to, allowing them to obtain the social support they should get but too often don't because of lack of information and actionability. Examples: https://www.mesdroitssociaux.gouv.fr (France), https://oecd-opsi.org/innovations/rac-legal-eligibility/ (New Zealand), https://ajuntament.barcelona.cat/lesmevesajudes/ (Spain), https://www.service.nsw.gov.au/campaign/savings-finder (Australia). Impact assessment in France: https://blog.beta.gouv.fr/general/2019/11/18/mes-aides-metriques/; https://blog.beta.gouv.fr/dinsic/2017/05/03/mes-aides-datascience-public/. OpenFisca also improves personal finance and budgeting ability, by enabling any service provider or assistant to compute personal financial obligations and entitlements and predict their evolution across potential life events. Examples: https://pa-comp.firebaseapp.com/ ; https://www.benefitme.nz/ ; https://betagouv.github.io/mes-aides-changent/graphique/?source=/mes-aides-changent/static/celibataire_handicap.json - 8: Decent Work and Economic Growth By making social and fiscal legislation executable, OpenFisca empowers individuals and businesses to assess their best employment opportunities, by removing the guesswork in computing exact income after tax and total cost to the employer. It also eases the creation and expansion of businesses in full respect of the law, by clarifying how regulatory constraints apply specifically to a given context. Examples: https://www.fairtrading.nsw.gov.au/community-gaming/community-gaming-regulation-check/ (context: https://www.digital.nsw.gov.au/article/an-australian-first-nsw-translating-rules-as-code-to-make-compliance-easy) ; https://www.simucrea.fr. - 9: Industry, Innovation, and Infrastructure Beyond all the examples listed in other points, that demonstrate how OpenFisca enables innovation and is the central part of an upcoming critical digital infrastructure, APIs based on OpenFisca can model many types of legislation, including niche ones, enabling lawmakers, regulators, and businesses to share a common view of their entitlements and duties and to discuss potential evolutions. Examples: Mining taxes in France are modeled in https://github.com/openfisca/openfisca-france-fiscalite-miniere; the Australian Energy Saving Scheme is modeled in https://www.codeforaustralia.org/case-studies/dpie-rules-as-code, and its National Building Code is being prototyped in a similar fashion. - 10: Reduced Inequalities (within and between countries) OpenFisca supports citizens in assessing their benefits, thus improving access to social safety nets designed for reducing inequalities (cf. SDG1). Beyond that aspect, by consolidating historical legislative data and enabling large-scale, population-wide simulations, OpenFisca enables economists, researchers, NGOs, and lawmakers to assess the impact of existing schemes and potential reforms, improving the understanding of policies impact on inequality and accelerating the delivery of policies to reduce it effectively. Examples: The French Institut des Politiques Publiques measured the impact of 5 years of consolidated fiscal reforms on wealth distribution, and was able to reach that level of precision thanks to OpenFisca: https://www.ipp.eu/en/publication/february-2020-budget-2020-what-effects-on-households/; https://budget.ipp.eu; https://policyengine.org/uk/blog/2023-01-12-from-idea-to-impact-scoring-a-policy-reform-on-the-new-policyengine-uk With growing OpenFisca adoption, cross-country comparison of implementations of similar policies becomes possible: with a simple mapping of the name of each policy in their respective OpenFisca model, researchers can run simulations over multiple years and populations and compare the results of each policy, enabling identification of the most effective ones. An upcoming European Union-funded Multi-Country Project also considers modeling international business rules and taxation, enabling identification and correction of policies that place an undue burden on individuals and businesses operating across countries. - 11: Sustainable Cities and Communities OpenFisca makes social and fiscal legislation executable (see SDG1). Its technical architecture is designed to allow local governments to complete national regulations with their specific rules, empowering regions, cities, and communities to build and improve their own schemes toward inclusion while taking into account the existing laws in which they operate. Examples: the cities of Paris and Brest use OpenFisca to deliver personalized information to residents on their entitlement to local benefits, including mobility and childcare support; Strasbourg used OpenFisca to design the reform of its school canteen scheme, enabling more pupils to access good food at a fair price. OpenFisca can also enable public bodies whose budget is determined based on computable rules to calculate it autonomously and make it publicly auditable. Examples: the French local government's budgets provided by the State are usually calculated in the second quarter of each year, while data to calculate their allotment is available at the beginning of the year, resulting in unnecessary delays for local decision-makers. The app “Dotations Locales” enables cities and residents to calculate that budget earlier and plan accordingly: https://leximpact.an.fr/dotations. - 13: Climate Action OpenFisca enables modeling any sort of legislation that contains a computational part. Carbon emission quotas could thus be modeled, improving their understandability and actionability. Just like with budgetary reforms (see SDG10), assessing the impact of climate-related legislation and ways to make it more effective would be significantly easier, cheaper, and more complete with the consolidated models that take into account interaction with other parts of law, like what OpenFisca delivers. Examples: French benefits for improved housing insulation are made more discoverable to citizens, and the eligibility to the Australian Energy Saving Scheme is made discoverable at https://www.nabers.gov.au/rating-tools/our-calculators/nsw-esc-estimator, enabling a much stronger and faster uptake of this policy (context: https://www.codeforaustralia.org/case-studies/dpie-rules-as-code). - 16: Peace, Justice and Strong Institutions In most democratic countries, the executive branch has both abilities to propose legislation and is uniquely equipped to assess its impact through direct access to the administration, putting the legislative branch in a situation where it hardly has the resources to double-check effectively the impact assessments or to properly assess the impact of its own legislative proposals. The exact same asymmetry prevents many civil society proposals for reforms to reach democratic arenas. The models provided by OpenFisca enable lawmakers and NGOs to discuss and design potential reforms on an objective basis, at a very low cost, and with high accuracy, and to provide citizens with replicable, auditable assessments. Examples: the French Parliament (Assemblée Nationale) provides all Members of Parliament with LexImpact, a tool designed for reform assessment; it also has a public instance enabling any citizen to design their own reforms: https://leximpact.an.fr; PolicyEngine enables reform design for both UK and US legislation: https://policyengine.org/. See also SDG11 for local institutions strengthening. - 17: Partnerships for the Goals Beyond technical aspects, OpenFisca’s specificity in the field of rules engine is its deeply collaborative nature. It is a digital common: both the core engine and the country models are created by a multitude of contributors. The rules and tooling that have progressively emerged to support such collaboration and its growth both enable and depend on active contributions by all actors: public administrations who are in charge of a specific aspect of legislation or regulation, researchers who can add historical depth to the data and analyze the resulting models, civil society who can audit and leverage the calculations; all of this in several countries, leading to a more robust shared core set of tools. This open-source, commons-based approach is enforced with reciprocity licenses and usage charters, and pushes all these actors to create new alliances and collaboration approaches based on shared goals that are embodied in a piece of software available to everyone. See https://oecd-opsi.org/publications/cracking-the-code/ and how OpenFisca's instant messaging system gathers a community of 300+ practitioners from all around the world, ranging from French administrations to American think tanks to Pakistani volunteers, all learning from each other and replicating experiments.",1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OpenStreetMap,,"OpenStreetMap (OSM) provides an essential infrastructure and boundary base layer below the overlaid data added by the SDG cartographers. Any aspect of any SDG 1 - 17 that can be mapped can make use of resources provided by OpenStreetMap and most of them currently already use OSM data. Outside of the SDG programme itself, global health organisations like the UN, MSF, ICRC, World Food Programme, and World Bank use countless maps, in many cases these maps are based directly on OSM data. Academics and researchers working in countless fields use OSM data for spatial representation and analysis.",0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rights Tracker,,"We produce country scores for five economic and social rights. These are the rights to education (SDG4), food (SDG2), health (SDG3), housing (SDG6) and work and social assistance (SDG1, SDG8). These scores tell us how well countries are using their available resources to make sure their people can enjoy each of these rights to the maximum extent possible given that country's level of income. Countries with well-functioning governments and effective public sectors perform better, and countries with high levels of corruption or inequality generally perform worse (hence SDG10). Many of the SDG indicators also feed into the Rights Tracker scores. However, unlike the SDGs, our scores are benchmarked according to each country's level of resources. This avoids the income bias problem that is inherent in the SDGs. (i.e. higher income countries generally perform better on most SDG indicators). This is very important as it has been documented (e.g. by the World Bank) that ESG investment strategies that use the SDGs (and simliar) as indicators of development, skew investment away from lower income countries towards higher income countries. Our award-winning methodology avoids this problem. Using a different methodology, we also produce country scores for eight civil and political rights. These relate closely to SDG16 and provide additional metrics not already captured by the SDG16 targets.",1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AgriTech Observatory,,"SDG2- AgriTech Observatory serves as a knowledge hub for promoting digital agriculture innovations and policy development, thus enabling practical implementation of these technologies to increase agricultural efficiency and sustainability. SDG 9: Industry, Innovation, and Infrastructure – The platform encourages the adoption of digital technologies, helping to modernize agricultural practices, support innovation, and strengthen infrastructure for sustainable agriculture. SDG 12: Responsible Consumption and Production – Digital tools, among those highlighted in the platform, can optimize resource use, minimize waste, and promote sustainable practices. SDG 13: Climate Action – By tracking and promoting climate-smart agricultural practices, the Observatory contributes to adaptation and mitigation strategies, helping farmers address climate change impacts. SDG 15: Life on Land – Sustainable digital agriculture practices can improve soil health, biodiversity, and ecosystem conservation, supporting the protection and restoration of terrestrial ecosystems. SDG 17: Partnerships for the Goals – The Observatory is built upon collaboration with several institutions, including JengaLab, the Central European University, the American University of Central Asia, the Georgian Farmers Association, and the Digital AgriHub.",0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X-Road®,https://github.com/nordic-institute/X-Road,"In order to ensure more universal and affordable access to digital services for the population of developing countries, X-Road has been introduced in multiple projects around the world. X-Road is open-source software and it provides developing countries with a national data exchange infrastructure without licensing fees. By implementing X-Road, countries avoid a vendor lock-in situation and get multiple channels for support, including a global community of users., Different healthcare platforms can be connected securely with X-Road which enables data exchange between private and public service providers. All the evidence regarding the data exchange is stored locally by the data exchange parties, and no third parties have access to the data. Steps are being taken to introduce X-Road on a global basis, to allow either the World Health Organization (WHO) or its member states to set up various cross-border services to help the global community emerge faster from the COVID-19 health and economic crisis., Energy efficiency, renewables and consumer centricity figure among the lines of action to boost the transition towards cleaner energy systems – ways of producing, delivering and consuming energy in a more sustainable way. The deployment of information technology has a significant impact on the feasibility of contemporary policy actions. X-Road is helping electricity grid operators by harmonising access to energy data. By simplifying access to data lets them focus on the solutions to achieve energy and climate goals., X-Road enables reduction of administrative burdens by the implementation of the Once-Only Principle (TOOP). Streamlined administrative processes support economic growth and enable providing better services for the citizens. For example, in Estonia, X-Road saved 1,134 working years during the previous calendar year. X-Road helps a country to become a hassle-free environment for business and entrepreneurship, which also attracts foreign investments., X-Road provides national core digital infrastructure for data exchange between organizations across administration sectors and business domains. Typically, the ecosystem is open for all kinds of organizations – both public and private sector organizations. Besides, X-Road can be used to implement cross-border data exchange with other countries. X-Road enables allocating resources for building digital services and fostering innovation, instead of integrating services point-to-point., The use of digital services reduces the need to travel between different locations which reduces traffic in the cities. When travelling is needed, digital services provide information about different transportation and route alternatives and may prioritise the most environmentally friendly alternatives. X-Road is a crucial enabler that’s needed to make numerous information systems to communicate with each other. By establishing or joining an X-Road environment, cities and municipalities can request up-to-date information from relevant public registers and increase their effectiveness., The Nordic Institute for Interoperability Solutions (NIIS) aims to develop X-Road the most sustainable data exchange solution in the world. The short-term goal is to focus on the X- Road software's direct and tangible environmental impacts. NIIS conducted research focusing on assessing the current emissions profile across X-Road's operations and services to give targeted recommendations for emissions reduction and sustainable business practices., X-Road is a solution to fight against corruption and helps in building trust towards institutions. X-Road provides log records of each message sent between X-Road ecosystem member organisations. The log records provide undeniable evidence of a transaction, and they could be used in process automation to reduce manual work, increase the level of automation in various processes and make things easier for both users of different information systems and citizens. X-Road also provides many features that are required from MyData platform technology.",1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
